date,time_period,usage,is_free
2024-12-25,10:00 - 10:30,0.088,No
2024-12-25,10:30 - 11:00,0.069,No
2024-12-25,11:00 - 11:30,0.086,No
2024-12-25,11:30 - 12:00,0.066,No
2024-12-25,12:00 - 12:30,0.121,No
2024-12-25,12:30 - 13:00,0.125,No
2024-12-25,13:00 - 13:30,1.662,No
2024-12-25,13:30 - 14:00,1.384,No
2024-12-25,14:00 - 14:30,0.065,No
2024-12-25,14:30 - 15:00,0.126,No
2024-12-25,15:00 - 15:30,0.105,No
2024-12-25,15:30 - 16:00,0.121,No
2024-12-25,16:00 - 16:30,0.068,No
2024-12-25,16:30 - 17:00,0.077,No
2024-12-25,17:00 - 17:30,0.028,No
2024-12-25,17:30 - 18:00,0.053,No
2024-12-25,18:00 - 18:30,0.029,No
2024-12-25,18:30 - 19:00,0.039,No
2024-12-25,19:00 - 19:30,0.042,No
2024-12-25,19:30 - 20:00,0.028,No
2024-12-25,20:00 - 20:30,0.054,No
2024-12-25,20:30 - 21:00,0.122,No
2024-12-25,21:00 - 21:30,1.711,Yes
2024-12-25,21:30 - 22:00,2.04,Yes
2024-12-25,22:00 - 22:30,1.951,Yes
2024-12-25,22:30 - 23:00,1.718,Yes
2024-12-25,23:00 - 23:30,0.154,Yes
2024-12-25,23:30 - 00:00,0.084,Yes
2024-12-24,00:00 - 00:30,0.053,No
2024-12-24,00:30 - 01:00,0.035,No
2024-12-24,01:00 - 01:30,0.043,No
2024-12-24,01:30 - 02:00,0.035,No
2024-12-24,02:00 - 02:30,0.029,No
2024-12-24,02:30 - 03:00,0.045,No
2024-12-24,03:00 - 03:30,0.028,No
2024-12-24,03:30 - 04:00,0.028,No
2024-12-24,04:00 - 04:30,0.045,No
2024-12-24,04:30 - 05:00,0.028,No
2024-12-24,05:00 - 05:30,0.028,No
2024-12-24,05:30 - 06:00,0.046,No
2024-12-24,06:00 - 06:30,1.566,Yes
2024-12-24,06:30 - 07:00,0.546,Yes
2024-12-24,07:00 - 07:30,0.053,No
2024-12-24,07:30 - 08:00,0.031,No
2024-12-24,08:00 - 08:30,0.029,No
2024-12-24,08:30 - 09:00,0.047,No
